Concept Name,Column,Value,Confidence,Citation
Magnetized Target Fusion - Pneumatic Compression (D-T),Fuel,D-T,high,"FST 2025 — spherical torus of D-T plasma; IAEA FEC 2025"
Magnetized Target Fusion - Pneumatic Compression (D-T),Primary Heating,Mechanical compression,high,"generalfusion.com/fusion-technology/; APS 2018 overview — 0.1 to 10 keV via compression"
Magnetized Target Fusion - Pneumatic Compression (D-T),Energy Capture,Thermal (steam),high,"COMSOL story; Interesting Engineering — lithium through heat exchanger, steam Rankine"
Magnetized Target Fusion - Pneumatic Compression (D-T),Plasma State,Compressed,high,"IAEA FEC 2025; APS 2018 — 3 orders of magnitude volume compression"
Magnetized Target Fusion - Pneumatic Compression (D-T),Magnet Type,Self-confined,high,"Wikipedia (General Fusion) — internal plasma currents and eddy currents; schema definition"
Magnetized Target Fusion - Pneumatic Compression (D-T),Tritium Breeding,Liquid metal wall,high,"FST 2025 — PbLi and pure Li evaluated; generalfusion.com — liquid metal breeds fuel"
Magnetized Target Fusion - Pneumatic Compression (D-T),Neutron Management,Integrated blanket/shield,high,"generalfusion.com — liquid metal absorbs neutrons and protects machine; FST 2025"
Magnetized Target Fusion - Pneumatic Compression (D-T),Operation Mode,Pulsed,high,"IAEA FEC 2025; generalfusion.com — pulsed at 1-10 Hz"
Magnetized Target Fusion - Pneumatic Compression (D-T),Repetition Rate,~1 Hz,high,"generalfusion.com; Hackaday — ~1 cycle per second; COMSOL story"
Magnetized Target Fusion - Pneumatic Compression (D-T),Driver Technology,Pneumatic pistons + liquid metal,high,"FST 2025 — pneumatic piston drivers; generalfusion.com; schema vocabulary"
Levitated Dipole (D-T),Confinement Family,MFE,high,"arXiv 2602.20564 — dipole magnetic field confines plasma"
Levitated Dipole (D-T),Confinement Concept,Levitated dipole,high,"openstar.tech; arXiv 2602.20564"
Levitated Dipole (D-T),Fuel,D-T,high,"arXiv 2602.20564 — D-T fuel cycle required for rapid deployment"
Levitated Dipole (D-T),Primary Heating,RF (ICRH),high,"arXiv 2602.20564 — ICRH as baseline, ~70% RF source efficiency"
Levitated Dipole (D-T),Energy Capture,Thermal (unspecified),medium,"arXiv 2602.20564 — thermal power plant; specific cycle not specified"
Levitated Dipole (D-T),Plasma State,Sustained,high,"arXiv 2602.20564 — Paux required in power balance; not ignited"
Levitated Dipole (D-T),Magnet Type,HTS (levitated dipole),high,"arXiv 2602.20564; arXiv 2508.17691; OpenStar website"
Levitated Dipole (D-T),Tritium Breeding,Solid ceramic breeder (HCPB),medium,"arXiv 2602.20564 — Li2O blanket baseline; ceramic preferred for lower thickness"
Levitated Dipole (D-T),Neutron Management,Integrated blanket/shield,high,"arXiv 2602.20564 — layered tungsten + B4C shield integrated with Li2O blanket"
Levitated Dipole (D-T),Operation Mode,Quasi-steady,high,"arXiv 2602.20564 — >95% duty cycle; pulsed by cryogen thermal limits"
Levitated Dipole (D-T),Repetition Rate,N/A,high,"Schema definition — quasi-steady concept"
Levitated Dipole (D-T),Driver Technology,"Levitated HTS dipole coil (REBCO, 23 T) with on-board flux pump",high,"arXiv 2602.20564; arXiv 2508.17691; OpenStar website"
Orbital Levitated Dipole (D-He3),Confinement Family,MFE,high,"YC launch page — dipole magnetic confinement"
Orbital Levitated Dipole (D-He3),Confinement Concept,Levitated dipole (orbital),high,"YC launch page; baseline CSV"
Orbital Levitated Dipole (D-He3),Fuel,D-He3,medium,"Baseline CSV; Hasegawa 1987 heritage — D-He3 target fuel"
Orbital Levitated Dipole (D-He3),Primary Heating,RF (ECRH),low,"Inferred from LDX heritage; Zephyr has not disclosed heating method"
Orbital Levitated Dipole (D-He3),Energy Capture,Direct (charged particle),low,"Hasegawa & Chen 1987 (PPPL-2627); only physically consistent option for orbital D-He3"
Orbital Levitated Dipole (D-He3),Plasma State,Sustained,medium,"Inferred from steady-state operation and sub-ignition expected performance"
Orbital Levitated Dipole (D-He3),Magnet Type,HTS (levitated dipole),high,"YC launch page — HTS magnets, ~10x field per kg improvement"
Orbital Levitated Dipole (D-He3),Tritium Breeding,N/A (aneutronic),medium,"D-He3 primary reaction aneutronic; no blanket infrastructure in orbit"
Orbital Levitated Dipole (D-He3),Neutron Management,Reduced (D-He3),medium,"Schema — ~10% neutron energy from DD side reactions; no shielding in orbit"
Orbital Levitated Dipole (D-He3),Operation Mode,Steady-state,high,"Baseline CSV; levitated dipoles inherently steady-state; no cryogen constraint in space"
Orbital Levitated Dipole (D-He3),Repetition Rate,N/A,high,"Schema — steady-state concept"
Orbital Levitated Dipole (D-He3),Driver Technology,"Orbital HTS dipole coil (meter-scale, Falcon 9 deployable)",high,"YC launch page; meter-scale HTS coil within Falcon 9 constraints"
Laser ICF - Fast Ignition (D-T),Confinement Family,IFE,high,"Focused Energy: focused-energy.co/technology"
Laser ICF - Fast Ignition (D-T),Confinement Concept,Laser ICF (fast ignition),high,"Focused Energy: direct-drive compression + proton fast ignition; Callahan interview confirms two-pulse architecture"
Laser ICF - Fast Ignition (D-T),Fuel,D-T,high,"Focused Energy: Deuterium-Tritium fusion fuel (technology page; Callahan interview)"
Laser ICF - Fast Ignition (D-T),Primary Heating,Laser (fast ignition),high,"Focused Energy: focused-energy.co/technology; Callahan interview — separate compression and ignition pulses"
Laser ICF - Fast Ignition (D-T),Energy Capture,Thermal (steam),high,"Callahan interview: 'We will use a conventional steam cycle to convert the heat into electricity'"
Laser ICF - Fast Ignition (D-T),Plasma State,Compressed,high,"Schema definition for IFE; laser ablation-driven compression"
Laser ICF - Fast Ignition (D-T),Magnet Type,None (IFE),high,"Schema definition; no magnetic confinement of plasma"
Laser ICF - Fast Ignition (D-T),Tritium Breeding,Li blanket (unspecified),medium,"Callahan interview: lithium blankets + SRNL partnership for tritium extraction; specific chemistry undisclosed"
Laser ICF - Fast Ignition (D-T),Neutron Management,Integrated blanket/shield,medium,"D-T IFE requires heavy neutron management; Focused Energy approach not specifically disclosed"
Laser ICF - Fast Ignition (D-T),Operation Mode,Pulsed,high,"Discrete laser shots on fuel capsules; Callahan interview: 900,000 shots a day"
Laser ICF - Fast Ignition (D-T),Repetition Rate,~10 Hz,high,"Callahan interview: about 10 per second (900,000 shots a day)"
Laser ICF - Fast Ignition (D-T),Driver Technology,"DPSSL (Nd:glass, 527 nm) + petawatt CPA ignition laser",high,"Focused Energy: Nd:glass DPSSL 527nm + petawatt CPA; $40M Amplitude partnership; T-STAR 8-beamline facility planned"
Laser ICF - Hybrid Direct Drive (D-T),Confinement Family,IFE,high,"Xcimer: xcimer.energy/approach/"
Laser ICF - Hybrid Direct Drive (D-T),Confinement Concept,Laser ICF (hybrid drive),high,"Xcimer: HDD per Physics of Plasmas 31(11) 112708 (2024); APS-DPP 2025 hybrid target design talk"
Laser ICF - Hybrid Direct Drive (D-T),Fuel,D-T,high,"Xcimer: DT hydrogen isotope mixture (science page)"
Laser ICF - Hybrid Direct Drive (D-T),Primary Heating,Laser (direct drive),high,"Xcimer: HDD ablates capsule directly through plasma atmosphere formed by initial hohlraum X-rays"
Laser ICF - Hybrid Direct Drive (D-T),Energy Capture,Thermal (unspecified),medium,"Xcimer Science page: steam turbines; HYLIFE heritage: He Brayton (~45% eff.) — contradictory; unspecified pending resolution"
Laser ICF - Hybrid Direct Drive (D-T),Plasma State,Compressed,high,"Schema definition for IFE; laser ablation-driven compression"
Laser ICF - Hybrid Direct Drive (D-T),Magnet Type,None (IFE),high,"Schema definition; no magnetic confinement of plasma"
Laser ICF - Hybrid Direct Drive (D-T),Tritium Breeding,FLiBe blanket,high,"Xcimer: flowing liquid lithium salt (HYLIFE-III FLiBe); TBR > 1.2 per 2024 Fusion Eng. Des. nuclear analysis"
Laser ICF - Hybrid Direct Drive (D-T),Neutron Management,Integrated blanket/shield,high,"Xcimer: HYLIFE-III FLiBe protective wet-wall; 30-year facility lifetime without first-wall replacement"
Laser ICF - Hybrid Direct Drive (D-T),Operation Mode,Pulsed,high,"Discrete laser shots; xcimer.energy/science/ — every couple seconds"
Laser ICF - Hybrid Direct Drive (D-T),Repetition Rate,Sub-Hz,high,"Xcimer: <1 Hz (xcimer.energy/approach/); ASPEN baseline 0.25-0.5 Hz"
Laser ICF - Hybrid Direct Drive (D-T),Driver Technology,"Excimer laser (KrF, 248 nm, 10+ MJ, ASPEN architecture)",high,"Xcimer: KrF 248nm 10+ MJ; Phoenix prototype Jun 2025; Vulcan 12 MJ targeted 2030; DOE HYPER-LASER hybrid pumping"
Laser ICF - Indirect Drive (D-T),Confinement Family,IFE,high,"Inertia Enterprises: inertia.com/; NIF heritage"
Laser ICF - Indirect Drive (D-T),Confinement Concept,Laser ICF (indirect drive),high,"Inertia: inertia.com/faq/why-indirect-drive/ — hohlraum targets based on NIF Hybrid-E design"
Laser ICF - Indirect Drive (D-T),Fuel,D-T,high,"Inertia: confirmed on website; NIF ignition experiments used D-T"
Laser ICF - Indirect Drive (D-T),Primary Heating,Laser (indirect drive),high,"Inertia: DPSSL Thunderwall architecture; hohlraum -> X-ray -> capsule ablation"
Laser ICF - Indirect Drive (D-T),Energy Capture,Thermal (steam),medium,"Inertia ENR interview (Mike Dunne): turning heat into steam -> turbine"
Laser ICF - Indirect Drive (D-T),Plasma State,Compressed,high,"Schema definition for IFE; NIF ignition physics — fuel compressed to ~300 g/cm3"
Laser ICF - Indirect Drive (D-T),Magnet Type,None (IFE),high,"Schema definition; no magnetic confinement of plasma"
Laser ICF - Indirect Drive (D-T),Tritium Breeding,Liquid Li blanket,high,"Inertia FAQ: pipes full of liquid lithium lining chamber; tritium extraction still in active development"
Laser ICF - Indirect Drive (D-T),Neutron Management,Integrated blanket/shield,high,"Inertia: flowing liquid lithium as integrated blanket protecting first wall and breeding tritium"
Laser ICF - Indirect Drive (D-T),Operation Mode,Pulsed,high,"ICF inherently pulsed; Inertia: 10 times per second"
Laser ICF - Indirect Drive (D-T),Repetition Rate,~10 Hz,high,"Inertia: 10 Hz (inertia.com)"
Laser ICF - Indirect Drive (D-T),Driver Technology,"DPSSL (Thunderwall, 10 kJ x 1000+ beamlines, 10 Hz, 3w UV)",high,"Inertia: DPSSL 10 kJ x 1000-4000 beamlines x 10 Hz; 10% wallplug efficiency; modular architecture"
Laser ICF - NIF Commercialization (D-T),Confinement Family,IFE,high,"Inertia website (inertia.com); baseline CSV"
Laser ICF - NIF Commercialization (D-T),Confinement Concept,Laser ICF (indirect drive),high,"Inertia website; ENR Mike Dunne interview — hohlraum targets based on Kritcher's Hybrid-E design"
Laser ICF - NIF Commercialization (D-T),Fuel,D-T,high,"Inertia website FAQ: D-T at 150 million C"
Laser ICF - NIF Commercialization (D-T),Primary Heating,Laser (indirect drive),high,"Inertia website; ENR interview — DPSSL Thunderwall 10 kJ x 10 Hz x 10% wallplug efficiency"
Laser ICF - NIF Commercialization (D-T),Energy Capture,Thermal (steam),medium,"Inertia FAQ: steam turbines for electricity; LIFE heritage ~45% thermal efficiency"
Laser ICF - NIF Commercialization (D-T),Plasma State,Compressed,high,"Inertia website; NIF physics heritage — target gain ~18 for pilot, >30 grid-scale"
Laser ICF - NIF Commercialization (D-T),Magnet Type,None (IFE),high,"Schema definition; IFE architecture — no magnetic confinement of plasma"
Laser ICF - NIF Commercialization (D-T),Tritium Breeding,Liquid Li blanket,high,"Inertia FAQ: lining fusion chamber with pipes full of liquid lithium"
Laser ICF - NIF Commercialization (D-T),Neutron Management,Integrated blanket/shield,medium,"Inertia FAQ: liquid lithium lining; inferred dual purpose breeding/shielding. Detailed architecture not published."
Laser ICF - NIF Commercialization (D-T),Operation Mode,Pulsed,high,"Inertia website; ENR interview — discrete fusion shots"
Laser ICF - NIF Commercialization (D-T),Repetition Rate,~10 Hz,high,"Inertia website: 10 targets per second; ENR interview; GlobeNewsWire press release"
Laser ICF - NIF Commercialization (D-T),Driver Technology,"Diode-pumped solid-state laser (DPSSL, 10 MJ, ~1000 beamlines)",high,"Inertia website; ENR interview; GlobeNewsWire — 20x more efficient and 1/10th footprint of NIF"
Laser ICF - OEC Architecture (D-T),Confinement Family,IFE,high,"Sunahara et al., Optics Express 33(22) 47104 (2025); bluelaserfusion.com"
Laser ICF - OEC Architecture (D-T),Confinement Concept,Laser ICF (direct drive),high,"Sunahara et al. 2025: cryogenic deuterium-tritium targets in a direct drive scheme"
Laser ICF - OEC Architecture (D-T),Fuel,D-T,high,"Sunahara et al. 2025 Table 2; BLF website: DT based target"
Laser ICF - OEC Architecture (D-T),Primary Heating,Laser (direct drive),high,"Sunahara et al. 2025 — direct-drive shock ignition; 500 beams (360 compression + 140 ignition)"
Laser ICF - OEC Architecture (D-T),Energy Capture,Hybrid (thermal + direct),high,"Sunahara et al. 2025 Table 2 and Fig. 10 — 70% thermal (eta=0.44) + 30% DEC (eta=0.44)"
Laser ICF - OEC Architecture (D-T),Plasma State,Compressed,high,"Sunahara et al. 2025 — laser-driven implosion; shock ignition scheme"
Laser ICF - OEC Architecture (D-T),Magnet Type,None (IFE),high,"Sunahara et al. 2025 — embedded magnets for DEC exhaust, not plasma confinement"
Laser ICF - OEC Architecture (D-T),Tritium Breeding,LiPb blanket,high,"Sunahara et al. 2025: natural lithium + lead neutron multiplier; He-gas-cooled; SiC ceramics"
Laser ICF - OEC Architecture (D-T),Neutron Management,Integrated blanket/shield,medium,"Sunahara et al. 2025 — blanket + first wall (tungsten + RAFM steel); no separate dedicated shielding"
Laser ICF - OEC Architecture (D-T),Operation Mode,Pulsed,high,"Sunahara et al. 2025 Table 2: laser operation frequency 1 to 10 Hz"
Laser ICF - OEC Architecture (D-T),Repetition Rate,~10 Hz,high,"Sunahara et al. 2025 Table 2: f = 1 to 10 Hz; 10 Hz for maximum output (2.8 GWe)"
Laser ICF - OEC Architecture (D-T),Driver Technology,"CBC fiber laser + OEC, 5 MJ UV",high,"Sunahara et al. 2025 — 500 CBC-OEC modules; LIGO-derived cavity technology; finesse 419000 demonstrated"
Laser ICF - French National Direct Drive (D-T),Confinement Family,IFE,high,"genf-systems.com/technology/ — ICF technology"
Laser ICF - French National Direct Drive (D-T),Confinement Concept,Laser ICF (direct drive),high,"genf-systems.com/inertial-confinement-fusion/ — selected direct drive; CNRS TARANIS project"
Laser ICF - French National Direct Drive (D-T),Fuel,D-T,high,"genf-systems.com/inertial-confinement-fusion/ — spherical capsule of deuterium and tritium"
Laser ICF - French National Direct Drive (D-T),Primary Heating,Laser (direct drive),high,"genf-systems.com/inertial-confinement-fusion/ — direct drive selected; lasers directly irradiate capsule"
Laser ICF - French National Direct Drive (D-T),Energy Capture,Thermal (unspecified),medium,"genf-systems.com: traditional power plant methods; specific cycle (Rankine vs sCO2) not confirmed"
Laser ICF - French National Direct Drive (D-T),Plasma State,Compressed,high,"genf-systems.com: lasers rapidly compress capsule to ~100 million K"
Laser ICF - French National Direct Drive (D-T),Magnet Type,None (IFE),high,"Structural — laser direct-drive ICF uses no magnetic plasma confinement"
Laser ICF - French National Direct Drive (D-T),Tritium Breeding,Liquid Li blanket,medium,"Ribeyre et al. AIP Advances 15(9):095013 (2025) — liquid lithium blankets; GenF website: lithium-based compound"
Laser ICF - French National Direct Drive (D-T),Neutron Management,Integrated blanket/shield,medium,"genf-systems.com: lithium blanket absorbs 14.1 MeV neutrons for energy + tritium; IFSA25 first wall presentation"
Laser ICF - French National Direct Drive (D-T),Operation Mode,Pulsed,high,"genf-systems.com/technology/ — targets injected 10 times per second"
Laser ICF - French National Direct Drive (D-T),Repetition Rate,~10 Hz,high,"genf-systems.com/technology/ — 10 times per second; CELIA patented active cooling for 10 Hz"
Laser ICF - French National Direct Drive (D-T),Driver Technology,Diode-pumped solid-state laser (DPSSL),medium,"Thales DPSSL heritage; European IFE consensus targets DPSSL; not explicitly confirmed by GenF for commercial reactor"
Laser ICF - Liquid Jet Target (D-D),Confinement Family,IFE,high,"Cortex Fusion website; arXiv:2503.15531"
Laser ICF - Liquid Jet Target (D-D),Confinement Concept,Laser ICF (liquid jet),high,"Cortex Fusion website; arXiv:2503.15531 — continuous liquid D2O jet with nanoshell targets"
Laser ICF - Liquid Jet Target (D-D),Fuel,D-D,high,"arXiv:2503.15531: D-D fusion explicitly, not D-T; liquid D2O fuel"
Laser ICF - Liquid Jet Target (D-D),Primary Heating,Laser (ultrashort pulse),high,"arXiv:2503.15531; Cortex website — femtosecond (~3 fs) laser pulses on nanostructured targets"
Laser ICF - Liquid Jet Target (D-D),Energy Capture,TBD,low,"No disclosed energy conversion method from any Cortex source"
Laser ICF - Liquid Jet Target (D-D),Plasma State,Compressed,low,"Schema assigns Compressed to IFE but mechanism is non-implosion plasmonic acceleration (isochoric heating)"
Laser ICF - Liquid Jet Target (D-D),Magnet Type,None (IFE),medium,"No external confinement magnets; laser-generated kT fields via inverse Faraday effect are transient"
Laser ICF - Liquid Jet Target (D-D),Tritium Breeding,N/A (aneutronic),high,"D-D fuel requires no tritium breeding; schema: N/A (aneutronic) applies to pure D-D concepts"
Laser ICF - Liquid Jet Target (D-D),Neutron Management,Heavy shielding (14 MeV),low,"Inferred from D-D physics at claimed 10^19 n/s flux; D-D neutrons are 2.45 MeV not 14 MeV — vocabulary mismatch"
Laser ICF - Liquid Jet Target (D-D),Operation Mode,Pulsed,high,"Cortex website; arXiv:2503.15531 — discrete femtosecond laser pulses"
Laser ICF - Liquid Jet Target (D-D),Repetition Rate,kHz,medium,"Cortex website: thousands of pulses per second; arXiv: 1 MHz target. No demonstrated rate."
Laser ICF - Liquid Jet Target (D-D),Driver Technology,Femtosecond laser + plasmonic nanoshell targets,medium,"arXiv:2503.15531; Cortex website — commercially available fs lasers on Au nanoshells in liquid D2O jet"
Laser ICF - p-B11 Fast Ignition,Confinement Family,IFE,high,"HB11 Technology Page: ICF with Fast Ignition"
Laser ICF - p-B11 Fast Ignition,Confinement Concept,Laser ICF (fast ignition),high,"HB11 Technology Page; Optica OPN 2025 — hybrid burn target design with fast ignition"
Laser ICF - p-B11 Fast Ignition,Fuel,p-B11,high,"HB11 Technology Page: proton-boron-11; p + B11 -> 3 He4 (8.7 MeV)"
Laser ICF - p-B11 Fast Ignition,Primary Heating,Laser (fast ignition),high,"HB11 Technology Page; Patent US10410752B2; OPN 2025 — ns compression + ps petawatt ignition"
Laser ICF - p-B11 Fast Ignition,Energy Capture,Thermal (steam),medium,"HB11 Technology Page 2025: conventional steam cycle generator (pivot from 2018 patent direct conversion)"
Laser ICF - p-B11 Fast Ignition,Plasma State,Compressed,high,"Patent US10410752B2 — laser-driven compression and ignition of fuel pellet"
Laser ICF - p-B11 Fast Ignition,Magnet Type,None (IFE),medium,"Patent US10410752B2; laser-driven kT fields are transient, not external magnets. Borderline — kT field does confine plasma."
Laser ICF - p-B11 Fast Ignition,Tritium Breeding,N/A (aneutronic),high,"p-B11 fuel cycle has no tritium"
Laser ICF - p-B11 Fast Ignition,Neutron Management,Minimal (aneutronic),high,"p-B11 aneutronic; <1% neutron energy from side reactions; thin shielding sufficient"
Laser ICF - p-B11 Fast Ignition,Operation Mode,Pulsed,high,"HB11 Technology Page: pellet injection ~1 per second"
Laser ICF - p-B11 Fast Ignition,Repetition Rate,~1 Hz,high,"HB11 Technology Page: ~1 per second; Patent: 1 reaction per second"
Laser ICF - p-B11 Fast Ignition,Driver Technology,Petawatt ps CPA laser + laser-driven kT field,high,"Patent US10410752B2; HB11 Technology Page; OPN 2025 — arrays of ns and ps lasers"
Laser ICF - Nanostructured Target (p-B11),Confinement Family,IFE,high,"Marvel Fusion website: marvelfusion.com/"
Laser ICF - Nanostructured Target (p-B11),Confinement Concept,Laser ICF (ultrashort pulse),high,"Marvel Fusion: sub-100 fs pulses on nanostructured targets; non-thermal block ignition"
Laser ICF - Nanostructured Target (p-B11),Fuel,p-B11,high,"Marvel Fusion website; p-B11 embedded in nanostructured silicon targets"
Laser ICF - Nanostructured Target (p-B11),Primary Heating,Laser (ultrashort pulse),high,"Marvel Fusion website: sub-100 fs DPSSL; non-thermal acceleration/block ignition"
Laser ICF - Nanostructured Target (p-B11),Energy Capture,Hybrid (thermal + direct),medium,"Marvel Fusion: magnetic/electrostatic + steam (~70% eff.); dual-channel alpha capture + thermal"
Laser ICF - Nanostructured Target (p-B11),Plasma State,Compressed,medium,"Schema best fit; Marvel uses non-thermal block acceleration — imperfect fit but no better schema value"
Laser ICF - Nanostructured Target (p-B11),Magnet Type,None (IFE),high,"No external confinement magnets"
Laser ICF - Nanostructured Target (p-B11),Tritium Breeding,N/A (aneutronic),high,"p-B11 fuel cycle produces no tritium"
Laser ICF - Nanostructured Target (p-B11),Neutron Management,Minimal (aneutronic),high,"p-B11 truly aneutronic <1% neutron energy; thin shielding; hands-on maintenance possible"
Laser ICF - Nanostructured Target (p-B11),Operation Mode,Pulsed,high,"Discrete laser shots at individual targets; 10 Hz target"
Laser ICF - Nanostructured Target (p-B11),Repetition Rate,~10 Hz,high,"Marvel Fusion: 10 Hz (ATLAS facility design at CSU)"
Laser ICF - Nanostructured Target (p-B11),Driver Technology,"Femtosecond DPSSL + nanostructured Si targets (nanowire arrays, semiconductor lithography)",medium,"Marvel: ~500 DPSSL beamlines sub-100 fs petawatt-class at 10 Hz; Trumpf/Thales/Siemens partners"
Projectile ICF (D-T),Confinement Family,IFE,high,"Schema definition; First Light Fusion technology page"
Projectile ICF (D-T),Confinement Concept,Projectile ICF,high,"Schema vocabulary; First Light Fusion technology descriptions"
Projectile ICF (D-T),Fuel,D-T,high,"First Light Fusion technology page; baseline CSV"
Projectile ICF (D-T),Primary Heating,Projectile impact,high,"Schema vocabulary; First Light: converging shockwaves compress fuel to >70 km/s and 10 terapascals"
Projectile ICF (D-T),Energy Capture,Thermal (steam),high,"First Light Fusion: 150-year-old steam turbine technology; lithium heat exchanger to water/steam Rankine"
Projectile ICF (D-T),Plasma State,Compressed,high,"Schema definition for IFE; projectile-induced implosion compresses fuel"
Projectile ICF (D-T),Magnet Type,None (IFE),high,"Schema definition; EM launcher magnets confine projectile, not plasma"
Projectile ICF (D-T),Tritium Breeding,Liquid Li blanket,high,"First Light: 1-meter-thick liquid lithium curtains; TBR 1.8 (TUV SUD UK validated Feb 2026)"
Projectile ICF (D-T),Neutron Management,Integrated blanket/shield,high,"First Light: liquid lithium curtains absorb neutrons; neutrons never reach vessel wall; lifetime-of-plant vessel"
Projectile ICF (D-T),Operation Mode,Pulsed,high,"Baseline CSV; inherent to all IFE concepts"
Projectile ICF (D-T),Repetition Rate,Sub-Hz,medium,"First Light: once every 30 seconds (0.033 Hz) for 150 MW pilot; conflicting figures 0.011-0.1 Hz range"
Projectile ICF (D-T),Driver Technology,Electromagnetic gun,high,"First Light Machine 3 (6.5 km/s achieved); schema vocabulary. Machine 4 cancelled Feb 2025 (FLARE pivot)."
Heavy Ion Beam ICF (D-T),Confinement Family,IFE,high,"Baseline CSV; confirmed by HIF literature (arXiv 2005.07520)"
Heavy Ion Beam ICF (D-T),Confinement Concept,Heavy ion beam ICF,high,"Baseline CSV; schema Column 2 vocabulary"
Heavy Ion Beam ICF (D-T),Fuel,D-T,high,"Baseline CSV; HIBALL (KfK-3202); HYLIFE-II (OSTI 7021072)"
Heavy Ion Beam ICF (D-T),Primary Heating,Heavy ion beam,high,"Schema Column 4 vocabulary; LBNL HIF program; HIBALL: 10 GeV Bi2+ at 160 mA"
Heavy Ion Beam ICF (D-T),Energy Capture,Thermal (steam),medium,"HIBALL; HYLIFE-II final report; OSTI companion report on steam power plant. Historical designs, not company disclosure."
Heavy Ion Beam ICF (D-T),Plasma State,Compressed,high,"Schema definition; HIF target physics — fuel compressed to ~1000x solid density"
Heavy Ion Beam ICF (D-T),Magnet Type,None (IFE),high,"Schema vocabulary; accelerator SC quadrupole magnets confine beam, not plasma"
Heavy Ion Beam ICF (D-T),Tritium Breeding,Li blanket (unspecified),medium,"HIBALL: LiPb (TBR ~1.195); HYLIFE-II: FLiBe. No company has selected a specific approach."
Heavy Ion Beam ICF (D-T),Neutron Management,Integrated blanket/shield,medium,"HYLIFE-II: thick flowing FLiBe jets protect first wall, 30-yr lifetime. HIBALL: LiPb integrates functions."
Heavy Ion Beam ICF (D-T),Operation Mode,Pulsed,high,"Baseline CSV; all HIF power plant designs — discrete implosion events"
Heavy Ion Beam ICF (D-T),Repetition Rate,~10 Hz,high,"arXiv 2005.07520 (2020): ~10-15 Hz for HIF reactors; HIBALL: 5 Hz; HYLIFE-II: 6 Hz"
Heavy Ion Beam ICF (D-T),Driver Technology,Linear induction accelerator,high,"Baseline CSV; LBNL HIF program; HIBALL: 3 km linac; HYLIFE-II: $570M direct cost"
